product_id,product_name,review_title,review_body,Score,sentiment,review_date,
FK001,Samsung Galaxy M15 5G (6GB RAM, 128GB),Great Value for Money,"The Samsung Galaxy M15 is a fantastic phone for the price. The 5G connectivity is fast, and the battery lasts all day. Camera is decent for casual photos.",5,positive,15-01-2025
FK002,boAt Rockerz 550 Headphones,Disappointing Sound Quality,"Expected better audio from boAt. The bass is weak, and the headphones feel cheap. Battery life is okay but not worth the price.",2,negative,03-02-2025,
FK003,Philips Air Fryer HD9252/90,Good but Overpriced,"Works well for frying snacks, but the price is a bit high for the features. Easy to clean, though, and the food tastes great.",3,neutral,22-03-2025,
FK004,Puma Men’s Running Shoes,Super Comfortable!,These Puma shoes are perfect for jogging. Lightweight and great cushioning. Worth every penny!,5,positive,10-04-2025,
FK005,Lenovo Ideapad Slim 3 (8GB RAM, 512GB SSD),Lags During Multitasking,"The laptop is sleek, but it struggles with heavy apps. Good for basic tasks, but don’t expect gaming performance.",3,neutral,07-05-2025
FK006,Saree Swarg Silk Saree,Stunning Design,This saree looks elegant and feels premium. Perfect for weddings. Fast delivery by Flipkart!,5,positive,19-06-2025,
FK007,Redmi Note 14 Pro,Camera Not Up to Mark,"The phone is fast, but the camera quality is poor in low light. Expected more from Redmi.",2,negative,01-07-2025,
FK008,Godrej 1.5 Ton AC,Cools Perfectly,Amazing cooling performance. Energy-efficient and quiet. Installation was smooth.,5,positive,02-08-2025,
FK009,Ray-Ban Sunglasses,Scratched Lens on Arrival,"The design is great, but one lens was scratched. Disappointing quality check by Flipkart.",1,negative,30-01-2025,
FK010,Prestige Electric Kettle,Decent for Daily Use,"Boils water quickly, but the build feels flimsy. Good for the price, though.",3,neutral,14-02-2025,
FK011,OnePlus Nord 3,Best Phone in Budget,"Smooth performance, great display, and fast charging. OnePlus nailed it with this one!",5,positive,05-03-2025,
FK012,HP Pavilion Laptop,Overheats Quickly,"The laptop looks premium, but it gets hot during extended use. Not great for heavy tasks.",2,negative,12-04-2025,
FK013,Lakmé Lipstick,Long-Lasting Color,Love the shade and texture. Stays on for hours. Highly recommend!,4,positive,20-05-2025,
FK014,Whirlpool Refrigerator,Noisy Compressor,"The fridge cools well, but the compressor makes a loud noise. Expected better from Whirlpool.",3,neutral,15-06-2025,
FK015,Nike Sports T-Shirt,Perfect Fit,Breathable fabric and stylish design. Great for workouts!,5,positive,10-07-2025,
FK016,Apple iPhone 15,Overpriced for Features,"The iPhone 15 is smooth, but the upgrades are minimal for the price. Camera is good, though.",3,neutral,01-08-2025,
FK017,Sony Bravia 55-Inch TV,Stunning Picture Quality,"The 4K display is crisp, and the sound is immersive. Worth the investment!",5,positive,25-01-2025,
FK018,Adidas Track Pants,Poor Stitching,"The pants are comfortable, but the stitching came apart after a week. Disappointed.",1,negative,28-02-2025,
FK019,Borosil Glass Set,Elegant and Durable,These glasses are stylish and sturdy. Perfect for daily use.,4,positive,15-03-2025,
FK020,Xiaomi Smart Band 8,Battery Drains Fast,"The band tracks well, but the battery doesn’t last as advertised. Okay for basic use.",2,negative,05-04-2025,
FK021,Realme Buds Air 3,Great Sound for Price,Amazing sound quality for budget earbuds. Comfortable fit and good battery life.,4,positive,12-05-2025,
FK022,Asus VivoBook 15,Slow Boot Time,"The laptop is decent for work, but it takes forever to start. Display is average.",3,neutral,08-06-2025,
FK023,Levi’s Jeans,Perfect Fit and Style,These jeans are super comfortable and look great. Worth the price!,5,positive,03-07-2025,
FK024,Daikin 1 Ton AC,Installation Issues,"The AC works fine, but the installation team was unprofessional. Cooling is good.",3,neutral,06-08-2025,
FK025,Samsung Galaxy Watch 5,Feature-Packed,Love the health tracking features and sleek design. Battery life could be better.,4,positive,20-01-2025,
FK026,Dell Inspiron Laptop,Terrible Battery Life,"The laptop is fast, but the battery drains in 3 hours. Not ideal for travel.",2,negative,10-02-2025,
FK027,Fastrack Analog Watch,Classy Look,Looks premium and fits well. Great value for money!,5,positive,08-03-2025,
FK028,MI Power Bank 20000mAh,Stopped Working,"Worked well for a month, then stopped charging. Poor quality.",1,negative,15-04-2025,
FK029,HomeCentre Sofa,Comfortable and Stylish,The sofa is cozy and looks modern. Delivery was quick!,5,positive,10-05-2025,
FK030,LG Washing Machine,Noisy Operation,"Washes clothes well, but it’s louder than expected. Decent for the price.",3,neutral,20-06-2025,
FK031,JBL Bluetooth Speaker,Awesome Sound,Crystal clear audio and strong bass. Perfect for parties!,5,positive,05-07-2025,
FK032,Titan Ceramic Watch,Scratches Easily,Looks good but scratches appeared within days. Expected better durability.,2,negative,03-08-2025,
FK033,Boat Airdopes 141,Value for Money,Great sound and battery life for the price. Comfortable for long use.,4,positive,18-01-2025,
FK034,Philips Trimmer,Blunt Blades,The trimmer doesn’t cut well after a few uses. Disappointing.,2,negative,12-02-2025,
FK035,Raymond Men’s Shirt,Premium Quality,"The fabric is soft, and the fit is perfect. Highly recommend!",5,positive,10-03-2025,
FK036,Vivo V27 5G,Average Camera,"The phone is fast, but the camera is average in low light. Decent overall.",3,neutral,20-04-2025,
FK037,Sleepyhead Mattress,Super Comfortable,Best mattress I’ve ever used. Great support and cozy!,5,positive,15-05-2025,
FK038,Sony Wireless Earbuds,Connection Issues,"Sound is good, but the earbuds keep disconnecting. Frustrating.",2,negative,10-06-2025,
FK039,Usha Ceiling Fan,Quiet and Efficient,Runs smoothly and saves energy. Great addition to my home.,4,positive,08-07-2025,
FK040,Honor MagicBook X14,Lightweight and Fast,Perfect for students. The laptop is fast and portable.,5,positive,04-08-2025,
FK041,Reebok Running Shoes,Wore Out Quickly,"Comfortable initially, but the soles wore out in a month.",2,negative,22-01-2025,
FK042,Bajaj Mixer Grinder,Powerful Performance,Grinds everything smoothly. Very happy with the purchase!,5,positive,15-02-2025,
FK043,Oppo Reno 10,Mediocre Battery,"The phone looks good, but the battery life is average.",3,neutral,12-03-2025,
FK044,Fossil Smartwatch,Stylish but Laggy,"Looks great, but the software lags sometimes. Good for casual use.",3,neutral,18-04-2025,
FK045,Nestlé Coffee Maker,Easy to Use,Makes great coffee quickly. Compact design is a plus!,4,positive,05-05-2025,
FK046,Asus ROG Phone 6,Overheats During Gaming,"Great for gaming, but it gets hot after 30 minutes. Expected better cooling.",3,neutral,25-06-2025,
FK047,Maxima Smartwatch,Cheap but Decent,"Good for basic fitness tracking. Not very durable, though.",3,neutral,15-07-2025,
FK048,Biba Kurti,Vibrant Colors,The kurti is beautiful and fits perfectly. Love the design!,5,positive,07-08-2025,
FK049,Samsung 32-Inch LED TV,Average Picture Quality,"The TV is okay, but the colors aren’t vibrant. Good for the price.",3,neutral,28-01-2025,
FK050,Havells Water Heater,Reliable and Efficient,Heats water quickly and saves energy. Very satisfied!,5,positive,20-02-2025,
FK051,Fire-Boltt Smartwatch,Battery Issues,"The watch looks good, but the battery drains in a day.",2,negative,18-03-2025,
FK052,Apple AirPods Pro,Premium Sound,Amazing noise cancellation and sound quality. Worth the price!,5,positive,10-04-2025,
FK053,LG Microwave Oven,Heats Unevenly,"The oven works, but some areas heat more than others.",3,neutral,08-05-2025,
FK054,Women’s Libas Kurti,Elegant and Comfortable,"The fabric is soft, and the design is stunning. Perfect for occasions!",5,positive,12-06-2025,
FK055,OnePlus 11R,Super Fast Phone,"The performance is top-notch, and the display is vibrant. Love it!",5,positive,20-07-2025,
FK056,Lenovo ThinkPad E14,Keyboard Issues,"The laptop is fast, but the keyboard feels cheap. Expected better from Lenovo.",3,neutral,05-08-2025,
FK057,Boat Immortal Earbuds,Great for Gaming,Low latency and good sound. Perfect for PUBG!,4,positive,16-01-2025,
FK058,IFB Washing Machine,Leaks After a Month,The machine worked well initially but started leaking. Disappointed.,2,negative,25-02-2025,
FK059,Spykar Jeans,Stylish and Durable,These jeans are trendy and well-made. Great buy!,5,positive,14-03-2025,
FK060,Realme GT 2,Overheats,"The phone is fast, but it gets warm during heavy use.",3,neutral,22-04-2025,
FK061,Samsung Galaxy Buds,Good but Not Great,"Sound is clear, but the battery life is average.",3,neutral,10-05-2025,
FK062,Peter England Shirt,Classy and Affordable,The shirt fits well and looks premium. Great for office wear.,4,positive,18-06-2025,
FK063,MI LED Bulb,Bright and Energy-Saving,Lights up the room well and saves electricity. Good purchase!,5,positive,12-07-2025,
FK064,Asus TUF Gaming Laptop,Fan Noise Issue,"Great performance, but the fan is too loud during gaming.",3,neutral,08-08-2025,
FK065,Noise ColorFit Smartwatch,Value for Money,Tracks fitness well and looks stylish. Battery life is decent.,4,positive,19-01-2025,
FK066,Philips Hair Dryer,Stopped Working,"Worked fine for two weeks, then stopped. Poor quality.",1,negative,13-02-2025,
FK067,Allen Solly Blazer,Perfect Fit,The blazer looks sharp and fits perfectly. Great for formal events!,5,positive,11-03-2025,
FK068,Vivo Y75,Average Performance,"The phone is okay for daily use, but it lags with heavy apps.",3,neutral,15-04-2025,
FK069,Samsung Refrigerator,Spacious and Efficient,Lots of space and cools evenly. Very happy with it!,5,positive,09-05-2025,
FK070,JBL PartyBox Speaker,Loud and Clear,Amazing sound quality for parties. Worth every penny!,5,positive,20-06-2025,
FK071,HP Envy Laptop,Display Issues,"The laptop is fast, but the screen flickers sometimes.",3,neutral,07-07-2025,
FK072,Titan Smartwatch,Sleek Design,Looks great and tracks fitness well. Battery life is good.,4,positive,04-08-2025,
FK073,Sony Headphones,Poor Build Quality,"Sound is good, but the plastic feels cheap and broke easily.",2,negative,27-01-2025,
FK074,Adidas Sneakers,Super Stylish,These sneakers are comfortable and look awesome. Great buy!,5,positive,16-02-2025,
FK075,MI Smart TV,Laggy Interface,"The picture is good, but the smart features are slow.",3,neutral,20-03-2025,
FK076,L’Oreal Shampoo,Great for Hair,Leaves hair soft and shiny. Smells amazing!,5,positive,12-04-2025,
FK077,OnePlus Buds Z,Decent for Price,Good sound for budget earbuds. Comfortable for long use.,4,positive,18-05-2025,
FK078,Bajaj Induction Cooktop,Heats Slowly,"The cooktop works, but it takes longer than expected to heat.",3,neutral,10-06-2025,
FK079,Samsung Galaxy A54,Great Mid-Range Phone,Smooth performance and good camera. Happy with the purchase!,5,positive,15-07-2025,
FK080,Levi’s Jacket,Premium Quality,The jacket is stylish and well-made. Perfect for winters!,5,positive,06-08-2025,
FK081,Philips LED Bulb,Flickers Sometimes,"Bright light, but it flickers occasionally. Decent for the price.",3,neutral,30-01-2025,
FK082,Boat Smartwatch,Good Features,Tracks fitness well and looks stylish. Great value!,4,positive,22-02-2025,
FK083,Redmi 10A,Slow Performance,"The phone is cheap, but it lags a lot. Not recommended.",2,negative,17-03-2025,
FK084,Fastrack Sunglasses,Trendy and Durable,Love the design and fit. Perfect for daily use!,5,positive,14-04-2025,
FK085,LG Air Conditioner,Cools Fast,Very efficient and quiet. Installation was hassle-free.,5,positive,12-05-2025,
FK086,Asus ZenBook 14,Battery Drains Quickly,"Sleek design, but the battery life is disappointing.",3,neutral,15-06-2025,
FK087,Nike Track Jacket,Comfortable and Stylish,Great for workouts and casual wear. Highly recommend!,5,positive,10-07-2025,
FK088,Xiaomi Air Purifier,Works Well,Cleans the air effectively. Quiet and efficient!,4,positive,03-08-2025,
FK089,Sony PlayStation 5,Amazing Gaming Experience,The PS5 is fast and the graphics are stunning. Love it!,5,positive,25-01-2025,
FK090,Reebok Sports Shoes,Poor Durability,Look good but wore out quickly. Not worth the price.,2,negative,28-02-2025,
FK091,Prestige Pressure Cooker,Safe and Fast,Cooks food quickly and is easy to use. Great buy!,5,positive,15-03-2025,
FK092,Vivo T2 5G,Average Camera,"The phone is fast, but the camera quality is just okay.",3,neutral,20-04-2025,
FK093,Samsung Soundbar,Immersive Sound,Great audio quality for movies. Easy to set up!,5,positive,10-05-2025,
FK094,HP Printer,Jams Frequently,"Prints well when it works, but paper jams are common.",3,neutral,18-06-2025,
FK095,Puma Backpack,Stylish and Spacious,Perfect for daily use. Durable and looks great!,5,positive,12-07-2025,
FK096,OnePlus TV,Good but Laggy,"The picture is great, but the interface lags sometimes.",3,neutral,08-08-2025,
FK097,Boat Rockerz 255 Pro,Great Battery Life,"Sound is decent, and the battery lasts long. Good buy!",4,positive,19-01-2025,
FK098,LG LED TV,Dead Pixels,The TV arrived with a few dead pixels. Disappointing.,2,negative,14-02-2025,
FK099,Fastrack Smartwatch,Value for Money,Good features for the price. Tracks fitness well.,4,positive,10-03-2025,
FK100,Philips Juicer,Leaky Design,Juices well but leaks during use. Messy to clean.,3,neutral,15-04-2025,
FK101,Samsung Galaxy Z Fold,Innovative but Fragile,"The foldable display is cool, but it feels delicate.",3,neutral,09-05-2025,
FK102,Nike Running Shorts,Perfect for Workouts,Comfortable and breathable. Great for running!,5,positive,20-06-2025,
FK103,MI Robot Vacuum,Smart and Efficient,Cleans well and is easy to control via app. Love it!,5,positive,15-07-2025,
FK104,Asus Monitor,Blurry Display,"The monitor is decent, but the display isn’t sharp.",3,neutral,04-08-2025,
FK105,Titan Wall Clock,Elegant Design,Looks great in my living room. Keeps time accurately!,4,positive,27-01-2025,
FK106,Redmi Earbuds,Poor Connectivity,"Sound is okay, but they disconnect often.",2,negative,16-02-2025,
FK107,Biba Anarkali Suit,Gorgeous Outfit,The suit is stunning and fits perfectly. Great for events!,5,positive,12-03-2025,
FK108,LG Refrigerator,Spacious but Noisy,"Lots of space, but the compressor is loud.",3,neutral,18-04-2025,
FK109,Sony Bluetooth Speaker,Portable and Loud,Great sound for a small speaker. Perfect for travel!,5,positive,10-05-2025,
FK110,OnePlus Nord CE,Good Phone,Smooth performance and decent camera. Happy with it!,4,positive,15-06-2025,
FK111,HP Spectre Laptop,Premium but Pricey,"Fast and sleek, but the price is too high for the features.",3,neutral,08-07-2025,
FK112,Puma Hoodie,Cozy and Stylish,Love the fit and warmth. Perfect for winters!,5,positive,03-08-2025,
FK113,Samsung Microwave,Heats Evenly,Works perfectly and is easy to use. Great buy!,5,positive,25-01-2025,
FK114,Boat Airdopes 181,Average Sound,"The earbuds are okay, but the sound lacks bass.",3,neutral,28-02-2025,
FK115,Fastrack Backpack,Durable and Stylish,Great for college. Spacious and sturdy!,5,positive,15-03-2025,
FK116,Vivo V29,Good but Overpriced,"The phone is smooth, but the features don’t justify the cost.",3,neutral,20-04-2025,
FK117,L’Oreal Lipstick,Vibrant and Long-Lasting,Love the color and staying power. Worth it!,5,positive,12-05-2025,
FK118,Philips Air Purifier,Effective and Quiet,Cleans the air well and runs silently. Great product!,5,positive,10-06-2025,
FK119,Asus Gaming Mouse,Ergonomic Design,Perfect for gaming. Smooth and responsive!,4,positive,15-07-2025,
FK120,Reebok T-Shirt,Faded After Wash,"The shirt was comfortable, but the color faded quickly.",2,negative,06-08-2025,
FK121,Samsung Galaxy S23,Top-Notch Performance,Amazing display and camera. Best phone I’ve owned!,5,positive,30-01-2025,
FK122,LG Washing Machine,Reliable and Quiet,Washes clothes well and is super quiet. Love it!,5,positive,22-02-2025,
FK123,Boat BassHeads,Poor Build Quality,"Sound is good, but the earphones broke in a month.",2,negative,17-03-2025,
FK124,Nike Cap,Stylish and Comfortable,Looks great and fits well. Perfect for casual wear!,5,positive,14-04-2025,
FK125,OnePlus 12,Fast and Smooth,The phone is lightning-fast with a great display!,5,positive,10-05-2025,
FK126,HP DeskJet Printer,Slow Printing,"Prints okay, but it’s slower than expected.",3,neutral,18-06-2025,
FK127,Samsung Smartwatch,Feature-Rich,Tracks fitness well and looks premium. Great buy!,5,positive,12-07-2025,
FK128,Asus Router,Unstable Connection,The router drops signals often. Not reliable.,2,negative,08-08-2025,
FK129,Puma Slippers,Super Comfortable,Perfect for home use. Soft and durable!,4,positive,19-01-2025,
FK130,Redmi Note 13,Good Value,Great phone for the price. Camera is decent!,4,positive,14-02-2025,
FK131,LG Soundbar,Immersive Audio,Amazing sound for movies and music. Worth it!,5,positive,10-03-2025,
FK132,Philips Blender,Blunt Blades,The blender struggles with hard ingredients. Okay for soft fruits.,3,neutral,15-04-2025,
FK133,Fastrack Sunglasses,Trendy Design,Look stylish and protect eyes well. Great purchase!,5,positive,09-05-2025,
FK134,OnePlus Buds Pro,Premium Sound,Great noise cancellation and sound quality. Love them!,5,positive,20-06-2025,
FK135,Samsung Refrigerator,Energy Efficient,Cools well and saves electricity. Spacious design!,5,positive,15-07-2025,
FK136,Boat Smartwatch,Good but Glitchy,"Tracks fitness well, but the app crashes sometimes.",3,neutral,04-08-2025,
FK137,Nike Sneakers,Perfect for Running,Lightweight and comfortable. Great for long runs!,5,positive,27-01-2025,
FK138,Asus VivoBook 16,Average Display,"The laptop is fast, but the screen quality is average.",3,neutral,16-02-2025,
FK139,L’Oreal Face Cream,Hydrates Well,Leaves skin soft and glowing. Highly recommend!,5,positive,12-03-2025,
FK140,Redmi Smart TV,Good Picture,"The display is vibrant, but the software is slow.",3,neutral,18-04-2025,
FK141,Samsung Galaxy Tab,Smooth Performance,Great for browsing and streaming. Love the display!,5,positive,10-05-2025,
FK142,Philips Iron,Heats Quickly,Irons clothes well and is easy to use. Good buy!,4,positive,15-06-2025,
FK143,Boat Airdopes 131,Poor Battery,"Sound is okay, but the battery drains too fast.",2,negative,08-07-2025,
FK144,Fastrack Watch,Stylish and Durable,Looks great and works perfectly. Great value!,5,positive,03-08-2025,
FK145,LG Air Purifier,Highly Effective,Cleans the air well and is quiet. Amazing product!,5,positive,25-01-2025,
FK146,OnePlus Nord 4,Fast and Affordable,Great performance for the price. Camera is good!,5,positive,28-02-2025,
FK147,Asus TUF Monitor,Great for Gaming,High refresh rate and vibrant colors. Perfect for gamers!,5,positive,15-03-2025,
FK148,Puma Joggers,Comfortable Fit,Great for casual wear and workouts. Love them!,5,positive,20-04-2025,
FK149,Samsung Earbuds,Clear Sound,Good sound quality and comfortable fit. Happy with it!,4,positive,12-05-2025,
FK150,Philips Toaster,Even Toasting,Toasts bread perfectly. Easy to clean!,5,positive,10-06-2025,
FK151,Redmi 12 5G,Good Budget Phone,Fast performance and decent camera. Great for the price!,4,positive,15-07-2025,
FK152,Boat Headphones,Average Sound,"The sound is okay, but the build feels cheap.",3,neutral,06-08-2025,
FK153,Fastrack Bag,Spacious and Sturdy,Perfect for travel. Durable and stylish!,5,positive,30-01-2025,
FK154,LG Microwave,Reliable and Fast,Heats food evenly and is easy to use. Great buy!,5,positive,22-02-2025,
FK155,OnePlus Smart TV,Vivid Display,"Great picture quality, but the interface is slow.",3,neutral,17-03-2025,
FK156,Nike Shorts,Breathable Fabric,Perfect for workouts. Comfortable and stylish!,5,positive,14-04-2025,
FK157,Samsung Galaxy M34,Good Battery Life,"The battery lasts long, and the phone is smooth.",4,positive,10-05-2025,
FK158,Philips Fan,Quiet and Powerful,Cools the room well and runs quietly. Great product!,5,positive,18-06-2025,
FK159,Asus ROG Laptop,High Performance,Amazing for gaming. Fast and powerful!,5,positive,12-07-2025,
FK160,Boat Earbuds,Good for Budget,Decent sound and battery life. Worth the price!,4,positive,08-08-2025,
FK161,Puma Cap,Stylish and Comfy,Looks great and fits well. Perfect for casual wear!,5,positive,19-01-2025,
FK162,Redmi Smartwatch,Tracks Well,"Good fitness tracking, but the app is glitchy.",3,neutral,14-02-2025,
FK163,L’Oreal Mascara,Long-Lasting,Great for daily use. Doesn’t smudge!,5,positive,10-03-2025,
FK164,Samsung Soundbar,Great Audio,Perfect for home theater. Clear and loud sound!,5,positive,15-04-2025,
FK165,OnePlus 10 Pro,Flagship Quality,Amazing display and performance. Love this phone!,5,positive,09-05-2025,
FK166,Philips Kettle,Fast Boiling,Boils water quickly and is easy to clean. Great buy!,5,positive,20-06-2025,
FK167,Fastrack Sunglasses,Cool Design,Stylish and durable. Perfect for daily use!,5,positive,15-07-2025,
FK168,Asus ZenBook Pro,Sleek but Heavy,"Fast performance, but it’s heavier than expected.",3,neutral,04-08-2025,
FK169,Nike Hoodie,Warm and Stylish,Perfect for winters. Looks great and feels cozy!,5,positive,27-01-2025,
FK170,Boat Airdopes 161,Value for Money,Good sound for the price. Comfortable fit!,4,positive,16-02-2025,
FK171,Samsung Refrigerator,Spacious Design,Cools well and has lots of space. Happy with it!,5,positive,12-03-2025,
FK172,LG Washing Machine,Efficient and Quiet,Washes clothes well and runs silently. Great buy!,5,positive,18-04-2025,
FK173,OnePlus Buds 2,Great Sound,Amazing audio quality and noise cancellation. Love them!,5,positive,10-05-2025,
FK174,Philips Trimmer,Sharp and Precise,Gives a clean trim. Easy to use!,5,positive,15-06-2025,
FK175,Fastrack Watch,Elegant and Affordable,Looks premium and works perfectly. Great value!,5,positive,08-07-2025,
FK176,Asus Monitor,Crisp Display,Great for work and gaming. Vibrant colors!,5,positive,03-08-2025,
FK177,Puma Sneakers,Super Comfortable,Perfect for daily wear. Stylish and durable!,5,positive,25-01-2025,
FK178,Redmi Note 12,Good Performance,Fast phone with a decent camera. Happy with it!,4,positive,28-02-2025,
FK179,L’Oreal Shampoo,Great for Hair,Leaves hair soft and shiny. Smells great!,5,positive,15-03-2025,
FK180,Samsung Galaxy Watch,Feature-Packed,Tracks fitness well and looks stylish. Great buy!,5,positive,20-04-2025,
FK181,Boat Speaker,Loud and Clear,Great sound for parties. Portable and durable!,5,positive,12-05-2025,
FK182,OnePlus Nord 2T,Smooth Experience,Fast performance and great display. Love it!,5,positive,10-06-2025,
FK183,Philips Air Fryer,Healthy Cooking,Cooks food perfectly with less oil. Easy to clean!,5,positive,15-07-2025,
FK184,Fastrack Backpack,Spacious and Stylish,Perfect for college. Durable and looks great!,5,positive,06-08-2025,
FK185,LG Soundbar,Immersive Audio,Great for movies. Clear and powerful sound!,5,positive,30-01-2025,
FK186,Nike Track Pants,Comfortable Fit,Great for workouts and casual wear. Love them!,5,positive,22-02-2025,
FK187,Samsung Galaxy A34,Good Mid-Range,Smooth performance and decent camera. Worth it!,4,positive,17-03-2025,
FK188,Asus VivoBook 14,Good for Work,Fast and lightweight. Great for office tasks!,5,positive,14-04-2025,
FK189,Boat Airdopes 171,Good Sound,Decent audio and battery life. Good for budget buyers!,4,positive,10-05-2025,
FK190,Puma T-Shirt,Breathable Fabric,Perfect for workouts. Comfortable and stylish!,5,positive,18-06-2025,
FK191,L’Oreal Face Wash,Gentle on Skin,Cleans well and leaves skin refreshed. Great product!,5,positive,12-07-2025,
FK192,OnePlus TV Q2,Vivid Picture,Great display and sound. Perfect for streaming!,5,positive,08-08-2025,
FK193,Philips Induction Cooktop,Fast Cooking,Heats up quickly and is easy to clean. Great buy!,5,positive,19-01-2025,
FK194,Fastrack Sunglasses,Stylish and Durable,Look great and protect eyes well. Worth it!,5,positive,14-02-2025,
FK195,Samsung Galaxy Buds 2,Clear Sound,Great audio and comfortable fit. Happy with them!,5,positive,10-03-2025,
FK196,LG Air Conditioner,Cools Efficiently,Very quiet and cools the room fast. Love it!,5,positive,15-04-2025,
FK197,Boat Smartwatch,Good Features,Tracks fitness well and looks stylish. Great value!,5,positive,09-05-2025,
FK198,Nike Sneakers,Perfect for Running,Lightweight and comfortable. Great for long runs!,5,positive,20-06-2025,
FK199,OnePlus 11,Flagship Performance,Amazing speed and display. Best phone ever!,5,positive,15-07-2025,
FK200,Philips Hair Straightener,Works Perfectly,Straightens hair smoothly. Easy to use!,5,positive,04-08-2025,
FK201,Samsung Galaxy M14,Good Budget Phone,Great battery life and performance. Worth it!,4,positive,27-01-2025,
FK202,Fastrack Bag,Durable and Spacious,Perfect for travel. Stylish and sturdy!,5,positive,16-02-2025,
FK203,L’Oreal Lip Gloss,Shiny and Long-Lasting,Looks great and stays on for hours. Love it!,5,positive,12-03-2025,
FK204,Asus ROG Phone 7,Great for Gaming,Fast and powerful. Perfect for mobile gaming!,5,positive,18-04-2025,
FK205,Puma Joggers,Comfortable and Stylish,Great for casual wear. Love the fit!,5,positive,10-05-2025,
FK206,LG Refrigerator,Spacious and Quiet,Cools well and has lots of space. Great buy!,5,positive,15-06-2025,
FK207,Boat Airdopes 191,Good Sound Quality,Great audio for budget earbuds. Comfortable!,4,positive,08-07-2025,
FK208,Samsung Soundbar,Amazing Audio,Perfect for home theater. Loud and clear!,5,positive,03-08-2025,
FK209,Nike Cap,Stylish and Comfy,Looks great and fits well. Perfect for casual wear!,5,positive,25-01-2025,
FK210,OnePlus Nord 3,Smooth and Fast,Great performance and display. Happy with it!,5,positive,28-02-2025,
FK211,Philips Toaster,Even Toasting,Toasts bread perfectly. Easy to clean!,5,positive,15-03-2025,
FK212,Fastrack Watch,Elegant Design,Looks premium and works perfectly. Great value!,5,positive,20-04-2025,
FK213,LG Washing Machine,Reliable and Quiet,Washes clothes well and runs silently. Love it!,5,positive,12-05-2025,
FK214,Boat Speaker,Portable and Loud,Great sound for a small speaker. Perfect for travel!,5,positive,10-06-2025,
FK215,Samsung Galaxy Tab S9,Amazing Display,Great for work and entertainment. Love the screen!,5,positive,15-07-2025,
FK216,Asus VivoBook 15,Fast and Lightweight,Great for students. Fast and portable!,5,positive,06-08-2025,
FK217,Puma Sneakers,Super Comfortable,Perfect for daily wear. Stylish and durable!,5,positive,30-01-2025,
FK218,L’Oreal Shampoo,Great for Hair,Leaves hair soft and shiny. Smells amazing!,5,positive,22-02-2025,
FK219,OnePlus Buds Pro 2,Premium Sound,Amazing noise cancellation and audio quality. Love them!,5,positive,17-03-2025,
FK220,Philips Air Fryer,Healthy Cooking,Cooks food perfectly with less oil. Easy to clean!,5,positive,14-04-2025,
